TG Number,Frequency,Tone,Alpha Tag,Description,Category,Tag
300,158760000,,Sheriff 1,Sheriff Dispatch 1,Law,Law Dispatch
301,154725000,,Sheriff 4,Waverly PD Dispatch,Law,Law Dispatch
303,155520000,,Sheriff 3,Owego PD,Law,Law Dispatch
305,155805000,,Owego PD,Owego PD Dispatch,Law,Law Dispatch
304,155100000,,Sheriff 6,TC Sheriff 6,Law,Law Talk
