TG Number,Frequency,Tone,Alpha Tag,Description,Category,Tag
300,154875000,,Chem Law Disp,Chemung CW Police Dispatch,Law,Law Dispatch
301,155490000,,Elmira PD 1,Elmira PD 1,Law,Law Dispatch
302,155422500,,Elmira PD 2,Elmira PD 2,Law,Law Talk
307,155365000,,Elmira PD 7,Elmira PD 7,Law,Law Talk
303,154137500,,ElmiraHts/HH PD,Elmira Heights/Horseheads Police,Law,Law Dispatch
310,156030000,,Chem SO 10,Sheriff Ch. 10,Law,Law Tac
