TG Number,Frequency,Tone,Alpha Tag,Description,Category,Tag
100,155250000,,Fire Dispatch,Fire Paging,Fire,Fire Dispatch
109,453887500,,CC FD1 UHF,Fire UHF Dispatch,Fire,Dispatch
